SKU	KEYWORDS	DESCRIPTION	CONSUMABLE	AVAILABILITY	PRICE	LINK	NAME	IMAGE	LOCATION	DATASHEET
V2VsbGVyIFNvbGRlcmluZyBJcm9u	Soldering	High End	0	4	186	https://www.digikey.com/product-detail/en/apex-tool-group/WESD51/WESD51-120V-ND/555479	Weller Soldering Iron	../cap/images/wellerSolderingIron.jpg		
REMgTW90b3JzIDEwMFJQTQ==	DC Motors	No-load Speed: 100RPM at 12V | Torque: 20Ncm | Power: 7.2W | No-load Current: 0.15A | Load Current: 0.6A | Reduction Ratio: 1: 31.6 | Mounting Screw Size: M3 (not included).	0	0	13.97	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B01KTZXZ1G/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	DC Motors 100RPM	../cap/images/dcMotor50.jpg		
U3VuZm91bmRlciBTZW5zb3IgU2V0	Tools	The kit is special in consisting mainly of sensor modules. Each sensor is made in the format of module which integrates some necessary components, such as comparator, resistor, and capacitor and so on, so it''''''''s convenient for circuit connection. This kit can help you "control" the physical world with sensors.	0	1	69.99	https://www.amazon.com/dp/B017W15HT8/ref=sspa_dk_detail_2?psc=1&pd_rd_i=B017W15HT8&pd_rd_wg=saA3s&pd_rd_r=96R2S066KECQ6VJ88C36&pd_rd_w=VCioU	Sunfounder Sensor Set	../cap/images/sensorKit37pcs.jpg	Drawer 1B	
QnJhc3MgVGlwIENsZWFuaW5n	Soldering		0	5	12.99	https://www.amazon.com/FEITA-Cleaning-Replacement-Soldering-Station/dp/B01HUQDT9K/ref=sr_1_1?ie=UTF8&qid=1508767842&sr=8-1&keywords=brass+cleaning+solder	Brass Tip Cleaning	../cap/images/brassCleaningWire.jpg		
Umlnb2wgT3NjaWxsb3Njb3Bl	Tools		0	1	349	https://www.amazon.com/Rigol-DS1054Z-Digital-Oscilloscopes-Bandwidth/dp/B012938E76/ref=sr_1_2?ie=UTF8&qid=1512609906&sr=8-2&keywords=osciliscope	Rigol Oscilloscope	../cap/images/RigolDS1054Z.jpg		../cap/datasheets/RigolDS1054Z.pdf
VXhjZWxsIDFrIE9obSBMaW5lYXI=	Potentiometer		0	2	6.22	https://www.amazon.com/Uxcell-a15011600ux0213-Linear-Rotary-Potentiometer/dp/B0171M5SRE/ref=sr_1_3?ie=UTF8&qid=1512610711&sr=8-3&keywords=potentiometer	Uxcell 1k Ohm Linear	../cap/images/1KPotsBlackKnobs.jpg		
My0xMnYgUG93ZXIgU3VwcGx5	Power Supply		0	10	12.9	https://www.amazon.com/Belker-Universal-Switching-Replacement-Electronics/dp/B072L81WX8/ref=sr_1_15?ie=UTF8&qid=1512613388&sr=8-15&keywords=dc+power	3-12v Power Supply	../cap/images/24wVariablePowerSupply.jpg		
QnJlYWRib2FyZHM=	Soldering	3 per pack	0	7	8.99	https://www.amazon.com/Solderless-Breadboard-Circuit-Circboard-Prototyping/dp/B01DDI54II/ref=sr_1_3?ie=UTF8&qid=1508767278&sr=8-3&keywords=breadboard	Breadboards	../cap/images/400BreadboardBeige.jpg		
TG9hZENlbGw=	Sensing		0	10	9.99	https://www.amazon.com/Weighing-Resistance-Half-bridge-Original-Arduino/dp/B071ZYYJHJ/ref=sr_1_3?ie=UTF8&qid=1512613222&sr=8-3&keywords=load+cell	LoadCell	../cap/images/50KGLoadCell.jpg		
NjB2IGRjIHBvd2VyIHN1cHBseQ==	Power Supply		0	1	79.99	https://www.amazon.com/Haitronic-HPS605D-adjustable-switching-Alligator/dp/B072M79X96/ref=sr_1_10?ie=UTF8&qid=1520782057&sr=8-10&keywords=60v+dc+power+supply	60v dc power supply	../cap/images/5ABenchPowerSupply.jpg		
QXJkdWlubyBVbm8gKHgxNSk=	MicroController	Package Including,1 x Compatible Arduino UNO R3 Development Board 1 x USB OTG Cable NEW IMPROVEMENT: Clearly print on the female header connector, more precise and easier to use the wire. Control using ATMEL ATMEGA328P chip	0	15	9.99	https://www.amazon.com/kuman-Board-ATmega328P-Cable-Arduino/dp/B016D5KOOC/ref=sr_1_4?s=electronics&ie=UTF8&qid=1508767674&sr=1-4&keywords=arduino+uno	Arduino Uno (x15)	../cap/images/arduinoUnoWithCable.jpg		../cap/datasheets/arduinoUno.pdf
ZWxlY3Ryb25pY3Mgc2NyZXcgc2V0cw==	Tools	60 in 1 Precision Magnetic Screwdriver Set : It Includes 56 screwdriver bits, handle bar, extension bar, Phillips and Flat screwdriver, Flexible extension shaft, SIM card ejector pin and more useful tools.	0	3	13.99	https://www.amazon.com/ORIA-Screwdriver-Professional-Electronics-Smartphone/dp/B06XSPNBL9/ref=sr_1_1?ie=UTF8&qid=1518462150&sr=8-1&keywords=electronics+screw+set	electronics screw sets	../cap/images/60pcsDriverSet.jpg	Drawer 1D	
REMgTW90b3IgMjQtYml0IEFEQw==	DC Motors	This module uses 24 high-precision A / D converter chip hx711, is designed for high-precision electronic scale and design, with two analog channel input, the internal integration of a gain programmable amplifier 128. Input circuit can be configured to provide an electrical bridge bridge voltage (such as pressure, weight) sensor model is an ideal high-precision, low-cost sampling front-end module.  ??? Two selectable differential input channels ??? On-chip active low noise PGA with selectable gain of 32, 64 and 128 ??? On-chip power supply regulator for load-cell and ADC analog power supply ??? On-chip oscillator requiring no external component with optional external crystal ??? On-chip power-on-reset ??? Simple digital control and serial interface: pin-driven controls, no programming needed ??? Selectable 10SPS or 80SPS output data rate ??? Simultaneous 50 and 60Hz supply rejection ??? Current consumption including on-chip analog power supply regulator: normal operation < 1.5mA, power down < 1uA ??? Operation supply voltage range: 2.6 ~ 5.5V ??? Operation temperature range: -40 ~ +85?? ??? 16 pin SOP-16 package	0	2	8.99	https://www.amazon.com/gp/product/B00XT0OY5A/ref=oh_aui_detailpage_o03_s00?ie=UTF8&psc=1	DC Motor 24-bit ADC	../cap/images/ADC5pcs.jpg		
QXJkdWlubyBNZWdhICh4MTAp	MicroController	The mega 2560 R3 Board is 100% compatible with Arduino Powered via the USB connection or with an external power supply. The power source is selected automatically. The ATmega2560-16au has 256 KB of flash memory for storing code (of which 8 KB is used for the bootloader), 8 KB of SRAM and 4 KB of EEPROM (which can be read and written with the EEPROM library).	0	9	14.99	https://www.amazon.com/SunFounder-ATmega2560-16AU-Board-compatible-Arduino/dp/B00D9NA4CY/ref=sr_1_2_sspa?s=pc&ie=UTF8&qid=1508770887&sr=1-2-spons&keywords=arduino+mega&psc=1	Arduino Mega (x10)	../cap/images/arduinoMega2560R3.jpg		../cap/datasheets/arduinoMega2560R3.pdf
QXJkdWlubyBOYW5vICh4MzAp	MicroController	The Nano is using the chips ATmega328P and CH340, not FT232 as official Arduino, so pls. use the driver from above link. It is a smallest, complete, and breadboard friendly board. It has everything that Diecimila/Duemilanove has (electrically) with more analog input pins and onboard +5V AREF jumper. Nano''''''''s got the breadboard-ability of the Boarduino and the Mini+USB with smaller footprint than either, so users have more breadboard space. It''''''''s got a pin layout that works well with the Mini or the Basic Stamp (TX, RX, ATN, GND on one top, power and ground on the other). The Nano can be powered via the Mini-B USB connection, 7-12V unregulated external power supply (pin 30), or 5V regulated external power supply (pin 27). The power source is automatically selected to the highest voltage source.	0	10	11.86	https://www.amazon.com/Arduino-Elegoo-ATmega328P-without-compatible/dp/B0713XK923/ref=sr_1_1_sspa?s=electronics&ie=UTF8&qid=1508767555&sr=1-1-spons&keywords=arduino+nano&psc=1	Arduino Nano (x30)	../cap/images/ArduinoNanoR3.jpg		../cap/datasheets/ArduinoNanoR3.pdf
T2NyIEVsZWN0cm9seXRpYyBDYXBhY2l0b3Jz	Consumable		0	3	19.99	https://www.amazon.com/Ocr-Electrolytic-Capacitor-Assortment-0-1uF%EF%BC%8D1000uF/dp/B01MSQOX0Q/ref=sr_1_6?ie=UTF8&qid=1508810292&sr=8-6&keywords=capacitor	Ocr Electrolytic Capacitors	../cap/images/capacitorPack.jpg		
U2VhbG9keSBTb2xkZXIgS2l0	Soldering		0	2	25.99	https://www.amazon.com/Soldering-Including-Temperature-Desoldering-Anti-static/dp/B01MR65RJD/ref=sr_1_18_sspa?rps=1&ie=UTF8&qid=1512610157&sr=8-18-spons&keywords=electronics+flux&refinements=p_85%3A2470955011&psc=1	Sealody Solder Kit	../cap/images/cheapSolderingKit.jpg		
REMgTW90b3IgMTBSUE0=	Actuator	No-load Speed:100RPM  Current: 0.5A Load Speed 70RPM  Current: 1.7A Shaft with 6mm diameter, 15mm Long	0	5	15.98	https://www.amazon.com/uxcell-Reduction-Electric-Eccentric-Diameter/dp/B01MXPME1N/ref=sr_1_1?rps=1&ie=UTF8&qid=1508770373&sr=8-1&keywords=BLDC%2Bmotor%2B24v&refinements=p_85%3A2470955011&th=1	DC Motor 10RPM	../cap/images/dcMotor1000RPM.jpg		
aUNyZWF0ZSBQb3dlciBUZXJtaW5hbHM=	Power Supply		0	2	5.99	https://www.amazon.com/iCreating-Connector-Adapter-Security-Rearview/dp/B06Y4YXRMC/ref=sr_1_2_sspa?ie=UTF8&qid=1512613497&sr=8-2-spons&keywords=dc+power+connector&psc=1	iCreate Power Terminals	../cap/images/2TerminalBarrelJack.jpg		
REMgVmlicmF0aW9uIDEweDIuN21t	Vibration	Product Name : DC Vibration Motor;Rated Voltage & Current : DC 3V,0.1ADC 1.5V, 0.05A Body Size : 10x 2.7mm/ 0.4" x 0.1" (D*T);Cable Length : 9.5cm/ 3.7" Main Color : Silver Tone;Material : Metal Net Weight : 6g Package : 5 x DC Vibration Motor	0	2	6.52	https://www.amazon.com/0-05A-10x2-7mm-Mobile-Phone-Vibration/dp/B00PZYMCT8/ref=sr_1_2?ie=UTF8&qid=1512612877&sr=8-2&keywords=vibrator%2Bmotor&th=1	DC Vibration 10x2.7mm	../cap/images/coinVibrator.jpg		
VXhjZWxsIERDIE1vdG9yIDIwMFJQTQ==	DC Motors	No-load Speed: 200RPM at 12V | Torque: 10Ncm | Power: 7.2W | No-load Current: 0.15A | Load Current: 0.6A | Reduction Ratio: 1: 13.5 | Mounting Screw Size: M3 (not included).	0	3	14.46	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B01KTXRB90/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	Uxcell DC Motor 200RPM	../cap/images/dcMotor10K.jpg		
MlJQTSBEQyBNb3Rvcg==	DC Motors	No-load Speed: 2RPM at 12V | Torque: 147Ncm | Power: 3W | No-load Current: 0.1A | Load Current: 0.25A | Reduction Ratio: 1: 627 | Mounting Screw Size: M3 (not included).	0	3	13.99	https://www.amazon.com/uxcell-1000RPM-Premium-Reduction-Electric/dp/B0771J9P8Y/ref=pd_ybh_a_103?_encoding=UTF8&refRID=S9FW6EVJNSKW2RY8MEBF&th=1	2RPM DC Motor	../cap/images/dcMotor10K.jpg		
